"party_id","candidate_id","votes"
16,119,6730587
12,123,6213182
6,88,105548
2,104,12200
19,90,10882
10,84,9704
11,126,7683
1,100,7138
21,86,6849
13,123,6549
5,82,5574
9,101,3564
